TemP (K),Time (min),PS (mm),BET (m2/g),PV (cm3),C (wt.%),H  (wt.%),N  (wt.%),O  (wt.%),Qm (mg/g),TP_Benzocaine,TP_Ciprofloxacin,TP_Citalopram,TP_Diclofenac ,TP_Dimetridazole,TP_Floxentine,TP_Metronidazole,TP_Nitroimidazole,TP_Norfloxacin,TP_Oxytetracycline,TP_Oxytetracycline ,TP_Salicylic acid,TP_Sulfadiazine,TP_Sulfamethoxazole,TP_Tetracycline,TP_Triclosan,TP_ibuprofen,TP_sulfamethazine 
398.4241,24.24907,13.640027,-52.52151,0.3075449,37.48857,3.4695191,4.6277432,5.6573052,-17.76382,0.025539596,-0.03281945,-0.17133063,0.26794496,-0.03063069,-0.028146587,0.01135943,0.034117058,-0.17949973,0.05670095,-0.0031997368,0.020706875,0.0026507236,0.39999923,-0.17748962,0.26724175,-0.20328245,-0.19924778
726.9478,24.240425,2.2594984,392.7761,0.2343838,78.7218,3.4850106,2.6505857,5.6586776,-17.980003,0.044301227,0.005365068,-0.18837945,-0.16727497,0.004476508,0.004983131,0.0001987636,-0.00063840224,0.2918343,0.008300079,0.004823757,0.025796808,-0.008733406,-0.19966441,0.7024929,0.046884805,0.4557189,-0.19998625
658.27997,24.237648,13.638471,-78.46166,-0.029379528,37.486267,0.33024934,-0.5886061,5.657315,-17.990242,0.00042987132,-0.022275005,0.33839133,-0.16794495,0.034106467,-0.10798021,-0.0019548063,-0.028373238,0.3045558,-0.056026738,-0.024047349,-0.030947603,-0.010913436,-0.20000002,0.7024929,-0.16788925,0.4557189,-0.19999993
726.6704,25.547699,-0.19997811,306.96228,-0.028425481,44.977474,0.34188893,-0.5895021,25.663576,-17.510677,-0.012883102,0.0011451168,-0.18459333,-0.16604507,-0.0025900763,0.05183152,-0.009418136,-0.008545957,-0.17380644,0.007467739,0.0183074,-0.0043814806,0.0046365093,-0.20000002,0.7024929,0.020872213,0.4557189,-0.19512859
726.9095,248.96002,-0.19564748,453.54736,0.10199175,78.705345,3.4864256,4.602899,25.98647,94.66462,0.004063856,0.05071395,-0.18839125,0.2428924,-0.063010566,0.115042046,0.020713339,0.007568144,-0.17887443,0.017452916,0.0128863305,0.043080345,-0.0040172758,0.4,0.7024928,-0.16174729,-0.2057189,0.4
726.9509,24.237648,-0.20062232,475.05002,0.33042362,64.69391,0.33024934,-0.5925596,5.657615,-17.989456,0.045583963,0.0006422352,-0.14271155,-0.16785848,0.016629389,-0.04460427,0.039139178,-0.0034816836,0.3045321,-0.017345559,0.0065063667,0.032436285,-0.032231517,-0.20000002,0.7024929,-0.16779728,0.4557189,-0.20000002
398.4241,273.69992,13.640057,-109.58691,-0.029379528,37.486267,3.4864256,4.6282787,25.98647,93.97629,-0.05430374,0.047935884,0.323975,-0.1679406,-0.031077169,-0.042480193,-0.04007445,0.00093777926,-0.17956147,-0.02843941,0.0133008985,-0.011023813,0.026819482,0.37457633,0.7024929,-0.16783091,-0.2057189,0.4
726.9509,24.237648,-0.18874002,441.24207,0.32922247,44.711517,0.33024934,-0.31560874,5.65731,-11.867966,0.02518546,-0.014869285,-0.16384012,-0.16794054,0.016707731,-0.031168766,0.010446356,-0.0061735986,0.30453086,-0.019684136,0.016564356,0.018766977,0.0013466605,-0.20000002,0.7024929,-0.15467839,0.4557189,-0.20000002
398.4276,27.780067,13.635108,-33.743694,-0.029377934,37.486267,3.4863968,4.628192,25.982924,94.447334,-0.010249817,0.042970423,0.33825877,0.035526298,-0.05624092,0.04478973,0.019385805,-0.015557465,-0.17956147,-0.021677662,-0.0037267797,-0.003187529,-0.018897928,0.39723897,0.7022206,0.09712803,-0.20566577,0.4
726.91034,24.511719,-0.16578794,260.60223,0.33099443,78.70827,0.3309243,-0.24659656,5.6573052,-17.990242,-0.001981716,-0.02106712,-0.1882344,-0.020116616,0.014074247,0.0383666,0.0052782116,0.01222984,-0.17863987,0.00654997,0.029943349,-0.015099152,0.02235041,-0.19999966,0.70054513,0.2679433,0.4557189,-0.20000002
